Mes,Scorecard,Decision,Rango Original,Casos,Sumas,Global (Preg.1.a)
200501,2,D,140-144,370,52543,Menos de 165
200501,2,D,195-199,489,96266,195-199
200501,3,A,190-194,2278,437335,190-194
200501,4,A,170-174,920,158250,170-174
200501,2,A,230-234,18,4168,Mas de 219
200501,2,A,210-214,267,56505,210-214
200501,2,D,220-224,41,9087,Mas de 219
200501,2,A,155-159,46,7232,Menos de 165
200501,4,D,260-264,18,4711,Mas de 219
200501,2,D,200-204,320,64574,200-204
200501,4,A,Mas de 264,227,61654,Mas de 219
200501,4,A,220-224,2699,599192,Mas de 219
200501,2,D,120-124,29,3562,Menos de 165
200501,2,D,215-219,56,12151,215-219
200501,2,D,160-164,1394,226026,Menos de 165
200501,3,A,150-154,375,57024,Menos de 165
200501,4,A,140-144,46,6543,Menos de 165
200501,4,A,255-259,414,106436,Mas de 219
200502,2,A,170-174,175,30114,170-174
200502,3,D,220-224,423,93848,Mas de 219
200502,3,A,180-184,1494,272213,180-184
200502,2,D,245-249,1,248,Mas de 219
200502,3,D,140-144,1440,204396,Menos de 165
200502,3,D,255-259,27,6940,Mas de 219
200502,4,A,Menor que 120,2,235,Mas de 219
200502,3,A,150-154,284,43232,Menos de 165
200502,2,A,140-144,2,283,Menos de 165
200502,4,D,235-239,268,63446,Mas de 219
200502,2,D,125-129,56,7142,Menos de 165
200502,3,D,Mas de 264,31,8417,Mas de 219
200502,3,A,165-169,741,123792,165-169
200502,2,D,205-209,277,57278,205-209
200502,4,A,260-264,160,41869,Mas de 219
200502,2,D,225-229,25,5664,Mas de 219
200502,2,A,215-219,90,19498,215-219
200502,2,A,195-199,594,116942,195-199
200502,4,D,205-209,1463,302809,205-209
200502,3,D,145-149,1861,273612,Menos de 165
200502,3,A,185-189,1753,327999,185-189
200502,3,D,170-174,3285,564985,170-174
200502,2,A,250-254,1,250,Mas de 219
200502,2,A,220-224,47,10409,Mas de 219
200502,4,D,225-229,569,129072,Mas de 219
200502,2,A,200-204,389,78459,200-204
200502,3,A,250-254,407,102509,Mas de 219
200502,3,D,125-129,639,81265,Menos de 165
200502,3,D,215-219,523,113397,215-219
200502,2,D,135-139,145,19854,Menos de 165
200502,4,A,240-244,923,223371,Mas de 219
200502,4,A,205-209,3495,723076,205-209
200502,3,D,185-189,2704,505602,185-189
200502,3,A,160-164,520,84301,Menos de 165
200502,2,A,145-149,14,2057,Menos de 165
200502,3,A,210-214,2237,474310,210-214
200502,3,A,230-234,1117,259133,Mas de 219
200502,4,D,155-159,1774,278772,Menos de 165
200502,3,D,195-199,1104,217379,195-199
200502,3,A,120-124,22,2698,Menos de 165
200502,2,A,185-189,843,157606,185-189
200502,3,A,220-224,1585,351533,Mas de 219
200502,3,A,200-204,2920,589466,200-204
200502,3,D,245-249,103,25443,Mas de 219
200502,2,A,245-249,1,245,Mas de 219
200502,3,A,140-144,122,17349,Menos de 165
200502,4,A,175-179,951,168474,175-179
200502,4,A,135-139,41,5635,Menos de 165
200502,4,A,255-259,394,101274,Mas de 219
200502,4,A,190-194,1778,341345,190-194
200502,4,A,220-224,2411,535091,Mas de 219
200502,3,A,130-134,57,7554,Menos de 165
200502,3,A,Mas de 264,249,67669,Mas de 219
200502,3,D,260-264,25,6540,Mas de 219
200502,3,A,145-149,195,28670,Menos de 165
200502,2,D,120-124,39,4786,Menos de 165
200502,2,D,215-219,117,25368,215-219
200502,2,D,220-224,60,13289,Mas de 219
200502,2,A,155-159,33,5182,Menos de 165
200502,4,D,180-184,3247,591074,180-184
200502,2,A,210-214,157,33223,210-214
200502,4,A,170-174,723,124366,170-174
200502,2,A,230-234,6,1397,Mas de 219
200502,2,A,205-209,186,38477,205-209
200502,3,D,210-214,574,121668,210-214
200502,4,D,Menor que 120,203,22644,Mas de 219
200502,3,D,230-234,263,61057,Mas de 219
200502,3,D,240-244,132,31889,Mas de 219
200502,3,D,205-209,774,160270,205-209
200502,3,A,235-239,907,215045,Mas de 219
200502,4,D,175-179,2911,515279,175-179
200502,3,D,120-124,376,45948,Menos de 165
200502,4,A,125-129,9,1149,Menos de 165
200502,4,A,215-219,2977,645896,215-219
200502,3,A,245-249,503,124083,Mas de 219
200502,3,D,250-254,63,15858,Mas de 219
200502,4,D,165-169,2313,386426,165-169
200502,2,A,240-244,1,242,Mas de 219
200502,2,D,170-174,1781,306632,170-174
200502,4,D,135-139,536,73637,Menos de 165
200502,4,D,160-164,2083,337728,Menos de 165
200502,3,A,195-199,3145,619218,195-199
200502,4,D,190-194,3116,598467,190-194
200502,3,A,155-159,394,61946,Menos de 165
200502,2,D,255-259,1,259,Mas de 219
200502,3,D,150-154,2190,333117,Menos de 165
200502,3,D,130-134,799,105651,Menos de 165
200502,2,A,150-154,17,2587,Menos de 165
200502,3,A,Menor que 120,12,1401,Mas de 219
200502,4,D,170-174,2660,457584,170-174
200502,4,A,180-184,1334,242770,180-184
200502,2,D,210-214,212,44864,210-214
200502,3,A,260-264,168,43967,Mas de 219
200502,3,D,225-229,326,73981,Mas de 219
200502,4,D,255-259,34,8728,Mas de 219
200502,2,A,235-239,1,235,Mas de 219
200502,2,D,230-234,8,1861,Mas de 219
200502,4,D,140-144,718,102031,Menos de 165
200502,3,D,190-194,2429,466153,190-194
200502,4,D,195-199,1874,369121,195-199
200502,4,D,Mas de 264,22,5937,Mas de 219
200502,4,D,250-254,87,21924,Mas de 219
200502,2,D,155-159,1117,175578,Menos de 165
200502,4,A,165-169,568,94897,165-169
200502,3,D,235-239,170,40282,Mas de 219
200502,3,A,240-244,679,164155,Mas de 219
200502,4,D,215-219,972,210889,215-219
200502,4,D,220-224,795,176506,Mas de 219
200502,4,D,200-204,1666,336564,200-204
200502,4,A,210-214,2923,619510,210-214
200502,3,D,155-159,2451,385033,Menos de 165
200502,4,D,145-149,1117,164208,Menos de 165
200502,4,A,230-234,1753,406562,Mas de 219
200502,2,D,130-134,97,12798,Menos de 165
200502,4,A,120-124,3,365,Menos de 165
200502,2,D,150-154,814,123790,Menos de 165
200502,3,A,205-209,2572,532420,205-209
200502,4,A,200-204,3484,703884,200-204
200502,3,A,175-179,1264,223817,175-179
200502,4,A,250-254,491,123628,Mas de 219
200502,4,D,185-189,2998,560570,185-189
200502,4,A,160-164,431,69896,Menos de 165
200502,2,D,165-169,1442,240929,165-169
200502,3,A,225-229,1480,335670,Mas de 219
200502,4,A,150-154,125,19006,Menos de 165
200502,4,D,125-129,209,26617,Menos de 165
200502,2,D,190-194,1227,235372,190-194
200502,4,A,130-134,12,1583,Menos de 165
200502,4,D,245-249,131,32298,Mas de 219
200502,2,D,235-239,3,714,Mas de 219
200502,2,A,225-229,20,4535,Mas de 219
200502,3,A,135-139,74,10149,Menos de 165
200502,4,A,140-144,38,5399,Menos de 165
200502,2,D,160-164,1270,205962,Menos de 165
200502,4,A,225-229,2139,485193,Mas de 219
200502,3,D,180-184,2919,531322,180-184
200502,4,A,Mas de 264,211,57316,Mas de 219
200502,2,D,175-179,1704,301684,175-179
200502,3,A,170-174,871,149856,170-174
200502,2,D,200-204,448,90420,200-204
200502,4,D,260-264,25,6545,Mas de 219
200502,4,D,210-214,1148,243291,210-214
200502,2,A,180-184,738,134439,180-184
200502,3,D,Menor que 120,597,65640,Mas de 219
200502,3,A,190-194,1936,371707,190-194
200502,3,A,255-259,237,60937,Mas de 219
200502,4,D,230-234,360,83506,Mas de 219
200502,2,D,140-144,325,46069,Menos de 165
200502,4,A,145-149,92,13534,Menos de 165
200502,4,A,235-239,1383,327483,Mas de 219
200502,2,D,195-199,755,148624,195-199
200502,4,A,195-199,3130,616616,195-199
200502,4,A,155-159,270,42423,Menos de 165
200502,2,D,180-184,1776,323309,180-184
200502,2,D,Menor que 120,9,1060,Mas de 219
200502,4,A,185-189,1500,280445,185-189
200502,2,A,175-179,501,88778,175-179
200502,3,D,165-169,3207,535351,165-169
200502,3,D,200-204,907,183150,200-204
200502,4,D,240-244,204,49362,Mas de 219
200502,2,A,135-139,1,137,Menos de 165
200502,3,D,160-164,2778,450152,Menos de 165
200502,2,A,165-169,104,17375,165-169
200502,2,D,145-149,520,76447,Menos de 165
200502,3,A,125-129,32,4073,Menos de 165
200502,4,A,245-249,742,183092,Mas de 219
200502,3,A,215-219,1938,420388,215-219
200502,4,D,130-134,308,40779,Menos de 165
200502,2,A,160-164,69,11209,Menos de 165
200502,2,A,190-194,841,161351,190-194
200502,3,D,135-139,999,136968,Menos de 165
200502,3,D,175-179,3011,533065,175-179
200502,4,D,120-124,155,18996,Menos de 165
200502,2,D,185-189,1457,272361,185-189
200502,4,D,150-154,1296,197025,Menos de 165
200503,4,D,190-194,3484,669165,190-194
200503,4,A,125-129,5,638,Menos de 165
200503,4,A,175-179,1027,181748,175-179
200503,4,D,160-164,2387,387020,Menos de 165
200503,2,D,170-174,1743,299988,170-174
200503,4,D,165-169,2573,429801,165-169
200503,3,A,245-249,588,145120,Mas de 219
200503,3,A,120-124,23,2819,Menos de 165
200503,2,D,220-224,81,17960,Mas de 219
200503,3,A,205-209,2913,603105,205-209
200503,4,D,135-139,671,92106,Menos de 165
200503,3,A,155-159,442,69488,Menos de 165
200503,3,A,185-189,1873,350383,185-189
200503,4,D,145-149,1234,181385,Menos de 165
200503,3,A,240-244,719,173710,Mas de 219
200503,3,D,205-209,961,198970,205-209
200503,4,D,225-229,616,139771,Mas de 219
200503,2,A,155-159,14,2194,Menos de 165
200503,3,D,230-234,267,61963,Mas de 219
200503,4,A,215-219,3029,657375,215-219
200503,4,A,250-254,517,130210,Mas de 219
200503,2,A,205-209,175,36194,205-209
200503,3,D,210-214,735,155756,210-214
200503,3,D,260-264,26,6804,Mas de 219
200503,4,D,195-199,2050,403664,195-199
200503,3,A,Mas de 264,242,65782,Mas de 219
200503,2,A,230-234,6,1392,Mas de 219
200503,2,D,250-254,1,251,Mas de 219
200503,3,A,150-154,295,44915,Menos de 165
200503,4,A,180-184,1319,240129,180-184
200503,4,D,235-239,294,69638,Mas de 219
200503,3,D,255-259,26,6681,Mas de 219
200503,4,A,190-194,1673,321263,190-194
200503,2,D,215-219,131,28410,215-219
200503,3,A,140-144,139,19751,Menos de 165
200503,4,A,220-224,2603,577830,Mas de 219
200503,4,A,170-174,787,135354,170-174
200503,3,D,245-249,112,27632,Mas de 219
200503,3,D,175-179,3328,589279,175-179
200503,2,A,185-189,610,114124,185-189
200503,3,D,125-129,604,76849,Menos de 165
200503,4,D,120-124,172,21039,Menos de 165
200503,2,A,240-244,2,485,Mas de 219
200503,3,A,160-164,620,100557,Menos de 165
200503,4,D,130-134,377,49862,Menos de 165
200503,3,D,185-189,3069,573696,185-189
200503,3,A,250-254,487,122724,Mas de 219
200503,2,D,225-229,29,6570,Mas de 219
200503,4,A,135-139,54,7445,Menos de 165
200503,3,A,200-204,3178,641856,200-204
200503,2,A,175-179,300,53135,175-179
200503,3,A,230-234,1269,294463,Mas de 219
200503,3,D,240-244,139,33632,Mas de 219
200503,4,D,150-154,1502,228308,Menos de 165
200503,4,D,Menor que 120,187,21048,Mas de 219
200503,3,A,195-199,3490,687263,195-199
200503,3,A,210-214,2476,524985,210-214
200503,3,D,200-204,1097,221461,200-204
200503,3,D,220-224,473,104983,Mas de 219
200503,3,A,255-259,255,65594,Mas de 219
200503,3,D,215-219,621,134674,215-219
200503,3,A,165-169,795,132828,165-169
200503,2,D,135-139,217,29715,Menos de 165
200503,3,D,250-254,59,14858,Mas de 219
200503,2,A,140-144,4,567,Menos de 165
200503,2,A,220-224,52,11534,Mas de 219
200503,3,D,Mas de 264,35,9459,Mas de 219
200503,2,D,175-179,1754,310545,175-179
200503,4,A,260-264,187,48958,Mas de 219
200503,3,A,145-149,220,32354,Menos de 165
200503,4,D,180-184,3732,679180,180-184
200503,4,A,235-239,1371,324692,Mas de 219
200503,3,D,140-144,1552,220401,Menos de 165
200503,2,A,200-204,301,60729,200-204
200503,4,A,Menor que 120,2,234,Mas de 219
200503,2,A,170-174,69,11892,170-174
200503,2,A,215-219,74,16045,215-219
200503,2,D,205-209,308,63727,205-209
200503,2,D,125-129,59,7501,Menos de 165
200503,4,A,225-229,2188,496414,Mas de 219
200503,3,D,170-174,3371,579791,170-174
200503,2,D,235-239,3,714,Mas de 219
200503,2,A,190-194,561,107741,190-194
200503,2,D,240-244,1,240,Mas de 219
200503,4,A,130-134,10,1326,Menos de 165
200503,2,A,160-164,29,4706,Menos de 165
200503,3,D,190-194,2772,531944,190-194
200503,4,A,245-249,738,182087,Mas de 219
200503,3,D,160-164,2777,449886,Menos de 165
200503,4,A,150-154,126,19160,Menos de 165
200503,4,D,255-259,64,16424,Mas de 219
200503,2,A,165-169,35,5851,165-169
200503,3,A,175-179,1414,250477,175-179
200503,3,D,135-139,1173,160827,Menos de 165
200503,3,D,165-169,3272,546393,165-169
200503,4,A,185-189,1463,273636,185-189
200503,2,D,150-154,907,137974,Menos de 165
200503,4,A,155-159,241,37928,Menos de 165
200503,3,D,195-199,1320,259859,195-199
200503,2,D,Menor que 120,16,1877,Mas de 219
200503,2,A,145-149,7,1029,Menos de 165
200503,3,A,215-219,2232,484252,215-219
200503,4,A,240-244,1004,243033,Mas de 219
200503,3,A,125-129,38,4827,Menos de 165
200503,2,D,130-134,145,19145,Menos de 165
200503,2,A,135-139,2,273,Menos de 165
200503,2,D,140-144,409,58077,Menos de 165
200503,4,A,120-124,1,124,Menos de 165
200503,4,A,205-209,3605,745891,205-209
200503,3,D,145-149,2043,300478,Menos de 165
200503,4,D,260-264,15,3934,Mas de 219
200503,3,D,Menor que 120,638,70878,Mas de 219
200503,2,A,225-229,15,3406,Mas de 219
200503,3,A,170-174,1032,177490,170-174
200503,4,D,205-209,1634,338131,205-209
200503,4,D,155-159,2080,326807,Menos de 165
200503,3,D,235-239,195,46203,Mas de 219
200503,4,A,Mas de 264,207,56186,Mas de 219
200503,4,D,230-234,420,97411,Mas de 219
200503,2,A,195-199,447,88019,195-199
200503,4,D,210-214,1282,271603,210-214
200503,2,D,160-164,1277,206998,Menos de 165
200503,2,D,200-204,549,110766,200-204
200503,2,A,235-239,6,1427,Mas de 219
200503,3,A,220-224,1799,399098,Mas de 219
200503,4,A,140-144,57,8111,Menos de 165
200503,3,D,225-229,387,87814,Mas de 219
200503,2,D,210-214,251,53146,210-214
200503,4,D,245-249,139,34261,Mas de 219
200503,2,D,185-189,1646,307656,185-189
200503,3,A,180-184,1704,310423,180-184
200503,3,A,190-194,2047,393067,190-194
200503,3,D,120-124,400,48869,Menos de 165
200503,3,A,135-139,114,15620,Menos de 165
200503,2,D,165-169,1475,246492,165-169
200503,3,D,150-154,2316,352289,Menos de 165
200503,4,D,185-189,3536,661129,185-189
200503,3,D,130-134,779,102957,Menos de 165
200503,4,A,160-164,445,72158,Menos de 165
200503,4,D,125-129,282,35905,Menos de 165
200503,2,D,145-149,561,82541,Menos de 165
200503,3,D,155-159,2627,412705,Menos de 165
200503,4,A,195-199,3411,671783,195-199
200503,4,D,240-244,199,48130,Mas de 219
200503,4,D,175-179,3400,601877,175-179
200503,2,D,180-184,1974,359360,180-184
200503,4,A,200-204,3634,734137,200-204
200503,4,A,165-169,610,101959,165-169
200503,2,A,150-154,7,1063,Menos de 165
200503,2,D,190-194,1417,271948,190-194
200503,4,A,145-149,105,15457,Menos de 165
200503,3,A,235-239,949,224903,Mas de 219
200503,4,D,250-254,79,19887,Mas de 219
200503,4,A,230-234,1848,428644,Mas de 219
200503,4,A,210-214,3167,671192,210-214
200503,4,D,Mas de 264,21,5665,Mas de 219
200503,2,A,180-184,427,77856,180-184
200503,4,D,220-224,930,206509,Mas de 219
200503,4,D,140-144,843,119746,Menos de 165
200503,4,D,200-204,2015,407001,200-204
200503,3,A,260-264,191,49988,Mas de 219
200503,3,D,180-184,3241,590223,180-184
200503,4,D,215-219,997,216283,215-219
200503,2,A,210-214,131,27754,210-214
200503,3,A,225-229,1650,374276,Mas de 219
200503,3,A,Menor que 120,11,1268,Mas de 219
200503,4,D,170-174,2969,510722,170-174
200503,2,D,120-124,30,3673,Menos de 165
200503,4,A,255-259,393,100979,Mas de 219
200503,2,D,230-234,20,4634,Mas de 219
200503,2,D,195-199,840,165366,195-199
200503,3,A,130-134,56,7406,Menos de 165
200503,2,D,155-159,1197,187965,Menos de 165
200504,4,D,Menor que 120,276,30659,Mas de 219
200504,3,A,230-234,1325,307356,Mas de 219
200504,3,D,145-149,2133,313660,Menos de 165
200504,3,A,155-159,474,74492,Menos de 165
200504,3,A,195-199,3695,727561,195-199
200504,3,D,165-169,3488,582320,165-169
200504,4,D,130-134,424,56103,Menos de 165
200504,2,D,140-144,338,47932,Menos de 165
200504,4,A,240-244,771,186646,Mas de 219
200504,2,D,220-224,60,13308,Mas de 219
200504,2,A,145-149,6,888,Menos de 165
200504,3,D,185-189,3379,631861,185-189
200504,3,A,150-154,366,55677,Menos de 165
200504,2,A,165-169,66,11013,165-169
200504,4,A,135-139,46,6309,Menos de 165
200504,3,D,120-124,447,54646,Menos de 165
200504,2,A,185-189,761,142334,185-189
200504,2,D,170-174,1821,313368,170-174
200504,2,D,240-244,1,240,Mas de 219
200504,4,A,125-129,6,763,Menos de 165
200504,3,D,160-164,3086,500072,Menos de 165
200504,4,A,245-249,663,163666,Mas de 219
200504,4,A,175-179,917,162344,175-179
200504,3,A,255-259,270,69414,Mas de 219
200504,3,D,170-174,3538,608570,170-174
200504,2,D,205-209,288,59586,205-209
200504,2,D,215-219,106,22951,215-219
200504,4,A,225-229,1810,410688,Mas de 219
200504,2,A,160-164,38,6157,Menos de 165
200504,2,D,125-129,67,8505,Menos de 165
200504,2,A,230-234,10,2311,Mas de 219
200504,3,A,190-194,2178,418135,190-194
200504,2,A,210-214,111,23486,210-214
200504,4,D,235-239,263,62310,Mas de 219
200504,2,D,185-189,1691,316027,185-189
200504,3,A,180-184,1751,318963,180-184
200504,2,A,220-224,50,11084,Mas de 219
200504,3,D,210-214,786,166624,210-214
200504,2,A,170-174,112,19239,170-174
200504,2,A,200-204,312,62917,200-204
200504,3,D,140-144,1666,236599,Menos de 165
200504,2,D,175-179,1973,349273,175-179
200504,3,D,195-199,1451,285665,195-199
200504,3,D,230-234,319,73980,Mas de 219
200504,4,A,Mas de 264,188,51058,Mas de 219
200504,4,A,260-264,130,34018,Mas de 219
200504,3,A,145-149,225,33120,Menos de 165
200504,4,A,205-209,3370,697263,205-209
200504,4,A,215-219,2655,576078,215-219
200504,2,A,140-144,2,288,Menos de 165
200504,3,D,200-204,1213,244900,200-204
200504,3,D,250-254,64,16107,Mas de 219
200504,2,D,245-249,1,247,Mas de 219
200504,2,A,195-199,542,106704,195-199
200504,3,D,220-224,550,121999,Mas de 219
200504,4,D,135-139,647,88848,Menos de 165
200504,3,D,240-244,173,41811,Mas de 219
200504,2,A,150-154,17,2587,Menos de 165
200504,3,A,165-169,890,148635,165-169
200504,3,A,185-189,1927,360680,185-189
200504,3,A,200-204,3247,655769,200-204
200504,4,D,175-179,3448,610571,175-179
200504,3,A,160-164,601,97430,Menos de 165
200504,2,A,240-244,5,1206,Mas de 219
200504,4,D,125-129,320,40764,Menos de 165
200504,3,D,150-154,2458,373755,Menos de 165
200504,4,A,120-124,1,124,Menos de 165
200504,4,D,190-194,3433,659442,190-194
200504,2,D,210-214,202,42778,210-214
200504,2,D,120-124,20,2446,Menos de 165
200504,3,D,245-249,115,28400,Mas de 219
200504,2,D,230-234,12,2773,Mas de 219
200504,3,A,130-134,68,8984,Menos de 165
200504,4,A,170-174,740,127287,170-174
200504,3,A,140-144,174,24720,Menos de 165
200504,3,D,255-259,42,10785,Mas de 219
200504,4,D,215-219,896,194416,215-219
200504,3,D,Mas de 264,44,12037,Mas de 219
200504,3,D,260-264,34,8889,Mas de 219
200504,2,A,205-209,192,39696,205-209
200504,3,D,155-159,2736,429884,Menos de 165
200504,4,D,225-229,534,121176,Mas de 219
200504,4,A,250-254,464,116794,Mas de 219
200504,3,A,Menor que 120,19,2204,Mas de 219
200504,2,A,155-159,29,4556,Menos de 165
200504,4,A,230-234,1590,368827,Mas de 219
200504,4,A,210-214,2772,587396,210-214
200504,4,D,180-184,3623,659148,180-184
200504,4,A,220-224,2266,502911,Mas de 219
200504,3,A,240-244,791,191273,Mas de 219
200504,3,A,235-239,944,223774,Mas de 219
200504,3,D,205-209,1100,227723,205-209
200504,3,A,125-129,28,3566,Menos de 165
200504,3,A,205-209,2991,619251,205-209
200504,4,A,195-199,3316,652930,195-199
200504,2,D,180-184,2056,374295,180-184
200504,4,D,145-149,1340,196918,Menos de 165
200504,4,A,155-159,271,42591,Menos de 165
200504,2,D,190-194,1385,265732,190-194
200504,4,D,165-169,2558,427530,165-169
200504,3,A,175-179,1441,255267,175-179
200504,3,A,135-139,92,12624,Menos de 165
200504,4,A,190-194,1586,304541,190-194
