Llave,Edad,Sexo,Edo Civil
54611160,62,M,S
84408124,5,M,S
35515100,39,F,C
54988649,11,M,S
27723814,50,M,C
78077280,2,F,S
36082410,53,M,S
02312320,25,F,S
76581658,10,F,C
84055595,8,M,S
89936399,41,F,S
28519981,30,M,S
89574800,19,F,C
02159578,25,M,C
29336724,40,F,C
91327725,47,F,S
01955217,61,F,S
36494030,56,F,C
15170153,17,F,C
66588984,39,F,S
29839347,19,F,S
65743801,63,F,C
51557435,29,M,S
17221393,32,F,C
45581091,50,M,C
40240130,22,M,S
16667219,67,F,S
48340051,42,F,S
16063120,14,F,C
35391486,21,F,S
66521025,56,F,C
89701463,63,M,C
22579927,16,M,C
99606000,59,F,C
26598899,47,M,S
97472135,13,M,S
58982182,18,F,C
38077543,1,F,C
96960510,16,M,C
20260227,20,F,S
96229756,38,M,S
72259046,7,F,C
48395925,35,M,C
87154924,59,M,S
58287239,15,M,S
18194715,57,M,C
56719395,45,F,S
15134888,63,M,S
25717495,29,M,S
76122719,29,F,C
83683057,40,F,S
86776854,49,M,S
13980424,55,F,S
98329037,40,M,S
26293633,49,F,C
91756941,56,F,C
36751522,36,F,C
94736903,69,M,S
35691297,12,M,S
23570766,40,M,C
44028994,9,M,S
07547225,30,M,C
22607638,3,M,S
67675998,50,M,C
33439737,57,F,S
22822297,4,F,C
86865585,61,F,S
00202917,12,F,S
12261383,45,F,C
22557590,65,M,S
59613766,15,M,S
09531557,56,F,C
65222224,42,M,C
76159530,61,M,S
44146433,28,F,C
16631649,16,F,C
56585941,58,M,S
82922075,51,F,C
53432798,59,M,S
61486800,49,M,C
20435335,20,M,C
14855670,14,M,C
63793278,21,F,C
20009351,18,F,C
97130642,25,M,S
13845116,44,F,C
94237947,5,M,S
41258944,59,F,C
61394467,42,F,C
66569759,3,F,S
23397887,25,M,C
27555386,8,M,S
54012031,32,F,S
65591113,48,F,C
66150725,49,F,S
42237017,23,M,S
64442247,18,M,S
78951748,43,M,S
34034471,15,M,C
70414910,24,M,S
87213658,16,F,S
97911555,51,M,C
54887137,64,M,S
30716027,11,F,C
28498934,65,F,S
82064831,65,M,C
68713811,58,F,S
47919032,49,F,C
62125804,39,M,S
34602058,53,F,S
00859215,35,F,C
16440440,45,M,S
88035632,57,F,C
98480073,65,M,S
13354028,54,F,S
21496943,14,F,S
41372361,26,F,S
46711736,6,M,C
47647320,69,F,C
74694765,4,M,S
24259414,64,M,C
07318319,21,F,C
77989589,42,F,S
18956758,57,F,C
34560359,30,M,S
31627286,40,F,S
49373681,55,F,S
01283740,11,M,S
18800192,21,F,C
68525825,15,F,S
79627613,27,F,C
15156133,8,F,C
95426508,17,F,S
29359150,40,F,C
61897527,69,F,S
02403828,44,M,S
42275045,26,M,C
69164145,2,M,C
12835193,40,M,C
36475675,33,F,S
44826777,24,F,S
73493166,30,M,S
99614719,28,M,C
83102828,19,F,C
05959744,47,M,C
12583867,13,M,S
19606188,69,M,C
72981350,17,M,C
65797482,43,M,S
08944960,56,F,S
79539634,63,F,C
28678486,24,F,S
12845872,31,F,C
49234061,37,F,C
73266159,67,F,S
44154554,52,F,C
64632383,67,M,S
20425201,58,F,S
02185158,67,F,S
33748277,59,F,C
22965133,23,M,S
79742528,19,F,C
21737968,16,F,C
03004420,27,M,S
57842404,48,M,C
80245951,17,F,C
34000178,28,M,S
78555274,51,M,S
91602827,60,M,S
40134056,21,F,C
89532881,8,F,C
15743820,38,F,C
26465188,4,F,S
76380146,3,M,C
95360942,28,F,S
19623105,21,F,C
99304417,32,F,C
97156719,13,F,S
92579038,56,M,C
59263411,47,F,C
62264207,28,F,C
38802143,31,F,S
01203401,2,M,S
77425254,51,F,S
72066575,21,F,S
22044994,56,F,S
35093676,66,M,C
62216010,19,F,S
84546477,22,F,C
42846314,21,F,S
86961704,60,F,C
00443033,55,F,S
86707533,5,F,S
81637543,66,M,C
77037792,12,F,S
96017976,37,M,C
77972804,55,F,C
05932883,58,M,C
21888528,56,F,C
71734346,43,F,S
95003366,4,M,C
76120610,33,F,S
41636543,65,F,C
50102412,68,F,S
28775493,6,F,S
03958893,55,M,S
08708095,57,M,C
03642209,51,F,C
38665069,44,F,S
52318375,55,F,C
02660422,69,M,C
17610717,67,M,C
40578933,8,F,S
50559966,42,F,S
78044019,33,M,S
84965222,2,M,S
03892990,13,F,S
52986778,28,F,C
49698241,7,M,S
41896946,23,F,S
56406839,66,M,S
00278666,45,F,S
21904152,10,F,S
05549934,51,F,C
15524583,38,M,S
95380541,48,M,C
52639763,56,F,S
78554451,2,M,S
84115746,21,F,S
21083229,12,M,C
11648366,6,M,C
65420764,37,F,C
41631066,10,F,S
24378226,45,M,C
38351681,39,F,S
90494829,49,F,S
46170576,17,M,S
60573606,48,M,S
30460826,24,F,S
29871737,43,M,S
06904113,37,M,C
19919305,53,M,S
55709017,4,M,S
75570090,29,F,S
17191060,5,M,S
90094033,3,M,S
18328821,47,F,S
14048656,53,F,C
66514291,46,F,C
60719763,29,M,S
66061941,15,F,C
57535825,63,F,S
43597046,67,M,C
33222902,10,M,S
67167880,15,F,C
59632891,40,M,C
96915359,27,F,S
58077418,59,M,S
68657529,33,F,S
60985383,58,M,C
41718596,58,F,S
75261895,47,F,S
20578164,53,M,S
60458902,60,F,S
28579923,40,F,C
18148600,68,M,C
93581686,35,F,S
47247649,24,M,C
75654315,10,M,C
40280343,41,M,S
69753862,19,F,C
09406901,32,M,C
12927494,29,F,S
57605946,26,M,C
69126064,5,M,S
61081673,64,F,S
14165315,64,M,S
70082131,30,M,C
60387868,67,F,S
40515175,62,F,S
80772826,45,F,S
75016851,2,M,S
68699929,6,M,S
70183814,61,M,C
84263527,23,F,S
36683721,66,F,S
30882586,9,M,S
35773476,27,F,S
59464291,28,M,S
89059384,46,F,C
28935947,19,F,C
88793915,30,F,S
35247842,15,M,C
44693883,15,M,C
95417296,36,M,C
23683323,33,F,C
13784710,54,M,S
24092910,3,F,C
54408116,64,F,C
77301742,3,M,S
70980178,36,M,S
98107368,69,M,S
85188378,43,F,C
83531670,15,F,C
48613226,63,M,C
87089216,63,F,C
98946534,3,M,C
60207448,25,M,S
55165237,4,F,S
00159188,7,F,C
61846712,2,M,C
83019727,55,F,S
61347487,42,M,S
95615122,48,M,C
91337552,36,F,C
31943086,4,F,C
86652975,5,F,C
82410751,33,M,C
35641450,37,F,C
48283912,7,F,C
58428824,64,F,S
43924217,8,F,C
31433074,38,M,S
98895875,33,F,S
38275132,7,M,S
88279840,34,F,C
39469597,65,F,C
87008368,45,F,S
66065852,36,F,S
52380415,65,F,S
33648893,38,F,C
31854345,16,F,C
64202206,35,F,S
45480841,57,F,S
39469018,58,M,S
33085395,56,M,S
78592373,42,M,C
01390025,53,F,C
25237952,32,F,C
59037701,63,M,S
28984059,21,M,C
11762214,1,M,C
85868253,44,F,S
19686972,12,M,S
30643955,65,F,C
84391304,46,F,S
37612453,59,M,C
56755043,59,F,S
93992626,48,M,C
90829984,53,F,C
23220779,46,M,S
78303714,42,M,C
86135202,13,M,S
93055265,60,F,C
58407354,60,F,S
70682556,7,F,S
34336591,56,F,S
13481088,2,M,S
54044245,17,M,S
38120163,20,F,C
57903611,52,F,S
79060811,53,M,C
29462702,69,F,S
89800926,44,F,S
86008742,43,F,S
19748066,43,F,C
83110576,49,M,S
42034418,16,F,C
77274613,62,M,S
92894321,47,F,C
43608823,24,F,S
79026478,62,F,C
82399265,6,M,C
21643789,46,F,C
34506090,67,M,S
08665179,59,M,C
00746983,29,F,S
23348033,15,M,S
88948797,11,F,S
37767741,38,F,S
56513229,32,M,C
20504689,32,M,C
58312371,61,F,C
70049221,31,F,S
59053438,69,F,C
50796741,30,F,C
13836210,70,M,C
45966592,31,F,S
70261712,54,F,S
45831836,22,F,S
78022712,4,M,C
95239457,33,M,S
02167183,39,M,S
63330589,67,M,S
74656850,18,F,C
85275805,13,F,S
30581413,15,M,C
28720722,41,M,C
57937670,0,F,C
69324836,63,M,S
81233601,64,M,S
53744799,56,F,S
72289884,16,M,C
66703572,54,M,S
38229140,60,M,S
53590197,19,F,C
67075983,54,M,S
29114158,16,M,C
97232322,20,F,S
82102916,69,M,C
36892154,4,M,C
08764296,40,F,S
16404120,27,F,S
91411467,8,M,C
79906239,57,M,S
24733528,11,M,S
80430675,17,M,C
33135105,19,M,C
52652746,11,F,S
30123726,43,F,C
99168059,42,M,S
50639121,23,F,C
94331443,45,F,C
88057841,30,F,S
34947733,46,F,C
51694518,24,F,S
08809184,22,F,S
20181771,56,F,S
11953940,3,M,S
10015650,24,M,S
56398049,50,F,C
86709396,27,F,S
34399092,62,M,C
61059611,62,F,C
15547542,31,M,C
63645743,57,M,C
36537875,23,M,S
80063744,14,F,S
26292824,39,F,S
94369093,57,M,C
66701268,40,F,S
80876646,46,M,S
84823850,12,M,C
89794753,5,F,C
89462598,62,M,C
68479031,64,M,C
38863811,28,M,S
01846525,18,F,C
94143463,41,F,C
86078346,1,F,C
79602796,9,M,C
12989532,32,F,S
74692160,7,M,C
03971986,42,F,C
72519059,60,F,S
12893201,46,F,S
61255147,19,F,S
57843290,63,M,C
22206707,52,M,S
32969863,25,F,S
36567167,18,M,C
13530947,22,M,S
28990659,31,M,C
79257507,57,F,S
50838899,36,M,S
40674243,4,F,S
70348330,64,F,C
15500912,31,M,C
73336897,32,F,S
10664389,65,F,S
65683886,69,F,S
68199237,28,F,S
10920802,22,M,C
57411013,30,M,C
21567261,19,F,C
10876454,52,F,S
32319142,44,F,C
77189835,44,F,C
08878842,59,F,C
33551178,67,F,C
87835961,53,M,S
83225058,17,F,C
06422879,53,M,S
52041568,49,M,C
14006042,57,F,S
16108555,20,F,S
68542137,18,F,C
46805539,63,M,C
32787348,14,F,C
98623583,1,F,S
47182414,4,M,C
09754388,51,M,C
40642703,3,M,C
47343057,12,F,S
00586183,24,F,S
08050613,12,M,C
05468205,67,M,S
85986139,30,F,C
54883424,39,F,S
37547263,38,M,S
42074717,18,M,C
61606704,45,F,C
56205587,30,F,C
07340709,57,F,C
77036992,40,M,C
32416993,22,F,C
85153177,37,F,C
85751147,17,M,S
52291841,67,M,S
17179254,63,F,C
68140124,6,F,C
92407891,67,F,C
24270882,67,F,S
66249370,20,M,S
79115033,52,F,C
74371527,31,M,S
11824023,55,F,C
73375386,5,M,C
48340599,20,F,S
91444938,32,M,C
80632035,3,M,S
47791160,58,F,C
50791293,22,F,S
75177701,29,F,S
32686241,56,M,S
40150387,64,M,C
33401191,16,F,C
36593649,32,F,S
62210429,11,F,S
43260969,61,F,S
56972749,69,M,S
47489456,10,F,C
00823180,13,F,S
60388722,48,F,C
06084475,42,M,S
00470625,62,M,S
73982407,3,M,S
37779600,55,M,S
96486449,70,F,S
71618333,14,M,C
75262501,56,F,C
89851818,6,M,S
78698302,14,F,C
82921561,37,M,C
77238898,63,M,C
80771237,11,M,S
07883319,42,M,S
56230805,42,F,C
95868957,45,F,C
53397648,27,M,S
50576456,61,F,S
63061095,12,F,S
81687230,47,M,C
96909831,4,F,S
70823648,16,M,S
76688509,26,M,S
96037145,48,M,S
93851204,66,M,C
29523911,12,M,S
69023661,1,M,S
10279875,14,F,C
68797658,70,F,C
51034531,43,F,C
08467299,63,F,C
32842132,0,M,S
32346773,14,F,S
69228578,58,M,C
34226098,50,M,C
27089346,46,M,S
89699184,19,M,S
89426088,22,M,S
26842702,1,M,S
92153567,14,F,C
80541581,53,F,S
84313991,14,F,C
99226158,59,F,C
05843465,31,F,S
33824435,1,F,S
23866323,14,M,S
88085252,66,M,C
80151799,27,F,S
98503895,16,F,S
63410869,55,F,C
59953069,7,M,S
55745249,6,M,C
23032985,25,F,C
15945731,38,M,C
90390963,63,F,S
36917277,51,F,C
38792325,4,M,S
28876862,28,M,C
42981349,64,M,S
73077528,29,F,C
29416432,62,M,C
49097241,47,M,S
26769646,66,F,S
08536532,19,M,S
07464492,34,F,S
84784305,46,F,C
74203623,50,M,C
11791926,14,M,S
73065908,24,M,S
23272728,46,M,S
08897867,3,M,S
85627633,12,M,S
18238683,13,M,S
32807773,52,F,S
20720906,68,M,C
62897046,65,F,C
65762920,53,F,S
42000186,22,F,S
40565784,54,F,C
38824235,12,M,C
63419716,26,F,C
10116695,48,F,C
07572350,57,F,S
62746624,44,F,S
31209251,45,F,C
21512717,41,F,S
72390302,51,M,C
95684580,64,M,C
96721033,17,M,S
01921570,40,F,C
26111346,13,F,C
92801289,66,F,C
46299719,53,M,C
02701300,11,M,C
87276816,25,F,S
52667047,63,M,C
68684004,22,F,S
47989191,34,M,C
37168189,48,F,C
31428723,50,M,S
57418715,34,F,S
79385677,57,M,S
71350491,37,M,S
81535835,21,M,C
40950537,15,M,C
60345191,35,F,C
41168995,46,M,C
63419692,17,M,S
71102454,26,F,C
59039629,66,M,C
73927272,24,M,S
66360466,25,M,S
30595826,6,F,S
34469443,18,M,C
01686303,61,F,S
48215776,46,F,C
26855961,8,M,C
88632589,52,M,S
24352982,4,M,C
87025989,12,M,C
70970186,16,F,C
27317367,46,M,C
63688179,36,F,C
07689179,30,M,C
99797699,58,M,S
83800358,28,M,C
84568739,2,F,S
05049564,13,M,C
69214511,37,M,C
00931831,33,F,C
76376780,35,M,C
37576848,66,F,S
00242264,34,F,C
44402192,41,M,S
20978404,24,M,C
88254626,50,M,S
07331557,18,F,C
55850979,6,F,S
35480247,47,F,S
84352783,7,M,S
33165172,22,F,S
86485300,52,F,C
61333581,25,F,S
43864138,43,F,C
93541592,51,M,C
43701961,50,F,S
83176885,40,F,S
53252495,59,M,C
01714060,7,M,S
45672982,36,F,S
00946873,23,M,S
97603124,42,M,C
94828197,54,M,S
86199635,32,F,C
14630389,45,M,S
35785638,13,F,S
17989316,38,F,C
08277295,33,M,C
41927980,65,M,S
17645166,6,F,S
52128953,49,M,S
07861129,50,M,S
15555805,7,M,S
68193725,34,F,S
93175917,36,M,C
89968145,24,M,S
47911706,15,M,S
75389776,43,M,C
24706439,53,F,C
76212220,36,M,S
95176188,16,M,S
39336231,52,M,S
90764162,6,M,S
28666431,49,M,S
92670973,23,M,S
55146788,15,M,S
33214937,28,M,S
76780843,63,M,S
57603204,64,M,S
54296596,29,F,C
08680232,41,F,C
00817797,23,M,C
02844265,61,M,S
31608629,62,F,C
05489375,45,M,S
72825072,69,M,C
08842815,24,F,C
15565803,4,M,S
18483501,42,F,S
93254327,66,F,S
97926114,64,F,S
14112713,14,F,S
39803012,66,F,S
93709637,38,F,S
76398000,22,F,S
76315315,48,F,C
30602185,67,M,C
19577757,6,M,C
36500196,7,F,S
92186378,61,F,S
28278549,43,M,C
41096231,36,F,C
13926698,24,M,S
97854031,29,F,S
37724399,50,M,C
23018055,31,M,S
80787075,39,M,C
25503836,50,F,S
63338183,8,F,C
04728420,15,M,C
73783862,20,M,S
28192833,10,F,S
77232069,7,M,C
26148844,50,F,S
11727151,17,M,C
65343553,30,M,S
76531764,28,F,S
74881665,30,F,C
85356542,48,F,S
86307591,15,F,S
49305987,34,F,S
10751057,52,M,S
80469636,39,M,S
61361418,17,M,S
05978417,43,M,C
05904602,58,F,S
90779535,8,M,C
97606017,5,F,C
35876399,4,F,S
67379952,28,F,S
98140175,9,M,C
48823910,5,F,C
66728319,45,M,C
67289067,55,F,C
87091748,30,M,C
75246947,19,M,C
78569573,51,M,S
13101290,37,M,C
70242635,16,M,C
09330369,3,M,S
20873491,48,M,C
66966662,67,M,S
30925932,41,F,S
86892923,66,M,S
64000334,44,F,C
80192234,36,M,C
62399115,6,M,C
61153500,35,F,C
73123789,65,F,S
67280740,22,F,S
34762974,42,F,S
95489984,20,F,C
35340271,19,M,C
73703333,35,F,S
00974152,7,M,C
28640479,21,M,C
44613855,65,M,S
39660974,62,F,C
85132983,43,M,S
30541983,9,M,C
08711971,59,M,C
06754885,15,F,S
